raw_value,channel_detail,origin_type,source_label,decision_status,notes,occurrences,source_columns,source_files
Idealista,idealista,portal,Idealista,ready,Portal inmobiliario claro,1881,CANAL DE ENTRADA,"Gestion de LEADS - Calahonda Sunset - Leads.csv | Gestion de LEADS - NYLVA HOMES - LEADS (1).csv | Gestion de LEADS - Orion Collection - Fase Almitak - Leads.csv | Gestión de Leads WhiteHills Villas - Leads.csv"
Cliente,cliente,direct,Cliente,ready,Valor presente en ORIGEN; usar como fallback cuando falte canal detallado,587,ORIGEN,"Gestion de LEADS - Orion Collection - Fase Almitak - Leads.csv"
Agencia,agencia,agency,Agencia,ready,Canal agencia generico,180,"CANAL DE ENTRADA | ORIGEN","Gestion de LEADS - Calahonda Sunset - Leads.csv | Gestion de LEADS - NYLVA HOMES - LEADS (1).csv | Gestion de LEADS - Orion Collection - Fase Almitak - Leads.csv"
Landing,landing,website,Landing,ready,Landing generica,152,CANAL DE ENTRADA,"Gestion de LEADS - NYLVA HOMES - LEADS (1).csv | Gestion de LEADS - Orion Collection - Fase Almitak - Leads.csv | Gestión de Leads WhiteHills Villas - Leads.csv"
info@blancareal.com,info_blancareal,email,Info Blanca Real,ready,Email de entrada compartido en varios CSV,114,CANAL DE ENTRADA,"Gestion de LEADS - Calahonda Sunset - Leads.csv | Gestion de LEADS - NYLVA HOMES - LEADS (1).csv | Gestion de LEADS - Orion Collection - Fase Almitak - Leads.csv"
Inmowi,inmowi,portal,Inmowi,ready,Portal inmobiliario,102,CANAL DE ENTRADA,"Gestion de LEADS - NYLVA HOMES - LEADS (1).csv"
Formulario Web BR,formulario_web_br,website,Formulario Web BR,ready,Formulario web corporativo BR,95,CANAL DE ENTRADA,"Gestion de LEADS - Calahonda Sunset - Leads.csv | Gestion de LEADS - Orion Collection - Fase Almitak - Leads.csv"
WA Natascha,wa_natascha,whatsapp,WA Natascha,ready,Canal WhatsApp,69,CANAL DE ENTRADA,"Gestion de LEADS - Calahonda Sunset - Leads.csv"
Clinmo,clinmo,portal,Clinmo,ready,Portal inmobiliario,65,CANAL DE ENTRADA,"Gestion de LEADS - NYLVA HOMES - LEADS (1).csv"
Cliente directo,cliente_directo,direct,Cliente directo,ready,Valor presente en ORIGEN; usar como fallback cuando falte canal detallado,43,ORIGEN,"Gestion de LEADS - Orion Collection - Fase Almitak - Leads.csv"
Landing Calahonda Sunset,landing_calahonda_sunset,website,Landing Calahonda Sunset,ready,Landing especifica de promocion,37,CANAL DE ENTRADA,"Gestion de LEADS - Calahonda Sunset - Leads.csv"
Contactos internos (Referenciados),contactos_internos_referenciados,direct,Contactos internos (Referenciados),ready,Referencia interna conocida,33,CANAL DE ENTRADA,"Gestion de LEADS - Calahonda Sunset - Leads.csv | Gestion de LEADS - Orion Collection - Fase Almitak - Leads.csv"
WA de BlancaReal,wa_de_blancareal,whatsapp,WA de BlancaReal,ready,Canal WhatsApp,29,CANAL DE ENTRADA,"Gestion de LEADS - NYLVA HOMES - LEADS (1).csv | Gestion de LEADS - Orion Collection - Fase Almitak - Leads.csv"
Mail Lanzamiento,mail_lanzamiento,email,Mail Lanzamiento,ready,Campana email/lanzamiento,28,CANAL DE ENTRADA,"Gestion de LEADS - NYLVA HOMES - LEADS (1).csv | Gestión de Leads WhiteHills Villas - Leads.csv"
Web BR,formulario_web_br,website,Formulario Web BR,ready,Alias del mismo canal que Formulario Web BR,25,CANAL DE ENTRADA,"Gestion de LEADS - NYLVA HOMES - LEADS (1).csv | Gestion de LEADS - Orion Collection - Fase Almitak - Leads.csv"
eva@blancareal.com,eva_blancareal,email,Eva Blanca Real,ready,Email de entrada,23,CANAL DE ENTRADA,"Gestion de LEADS - Calahonda Sunset - Leads.csv | Gestion de LEADS - NYLVA HOMES - LEADS (1).csv | Gestion de LEADS - Orion Collection - Fase Almitak - Leads.csv"
office@blancareal.com,office_blancareal,email,Office Blanca Real,ready,Email de entrada,22,CANAL DE ENTRADA,"Gestion de LEADS - Calahonda Sunset - Leads.csv"
WA de BlancaReal(Eva),wa_de_blancareal_eva,whatsapp,WA de BlancaReal (Eva),ready,Canal WhatsApp,21,CANAL DE ENTRADA,"Gestion de LEADS - Calahonda Sunset - Leads.csv"
