Fecha,Clics,Impresiones,CTR,Posición
2025-04-09,19,1094,1.74%,31.1
2025-04-10,17,1201,1.42%,32.2
2025-04-11,16,973,1.64%,27.4
2025-04-12,13,724,1.8%,27.6
2025-04-13,16,886,1.81%,28.1
2025-04-14,17,1097,1.55%,30.7
2025-04-15,19,889,2.14%,29.4
2025-04-16,13,734,1.77%,25.5
2025-04-17,9,698,1.29%,27.1
2025-04-18,9,679,1.33%,25.7
2025-04-19,18,831,2.17%,27.4
2025-04-20,13,986,1.32%,29.5
2025-04-21,20,1108,1.81%,28
2025-04-22,20,944,2.12%,23.5
2025-04-23,32,1139,2.81%,27.7
2025-04-24,15,1779,0.84%,28.7
2025-04-25,20,1294,1.55%,26.5
2025-04-26,15,988,1.52%,30
2025-04-27,18,1388,1.3%,29.9
2025-04-28,13,965,1.35%,32.9
2025-04-29,13,1508,0.86%,32.7
2025-04-30,28,973,2.88%,28.2
2025-05-01,20,1023,1.96%,28.8
2025-05-02,22,993,2.22%,27.7
2025-05-03,8,941,0.85%,31.5
2025-05-04,14,1071,1.31%,28.4
2025-05-05,23,1324,1.74%,30.5
2025-05-06,26,1044,2.49%,28.5
2025-05-07,18,1446,1.24%,28.3
2025-05-08,24,1433,1.67%,25.2
2025-05-09,12,972,1.23%,29.7
2025-05-10,18,1028,1.75%,30.5
2025-05-11,20,1147,1.74%,31.9
2025-05-12,15,1228,1.22%,29.2
2025-05-13,25,1337,1.87%,33.4
2025-05-14,14,1067,1.31%,28.3
2025-05-15,17,977,1.74%,30.3
2025-05-16,15,900,1.67%,27.6
2025-05-17,16,1059,1.51%,28.9
2025-05-18,23,1110,2.07%,28.3
2025-05-19,17,1235,1.38%,27.4
2025-05-20,37,1166,3.17%,26.3
2025-05-21,29,1134,2.56%,27.4
2025-05-22,18,1149,1.57%,27.9
2025-05-23,16,1869,0.86%,28.9
2025-05-24,14,1976,0.71%,27.9
2025-05-25,22,1458,1.51%,29.4
2025-05-26,25,1387,1.8%,29.5
2025-05-27,9,1305,0.69%,27.5
2025-05-28,21,1170,1.79%,28.7
2025-05-29,16,1218,1.31%,32.3
2025-05-30,21,1066,1.97%,30
2025-05-31,8,1004,0.8%,33.1
