País,Clics,Impresiones,CTR,Posición
España,5053,211694,2.39%,15.92
Italia,307,17380,1.77%,17.07
Países Bajos,233,17380,1.34%,23.21
Bélgica,169,7598,2.22%,23.73
Alemania,129,9162,1.41%,25.86
Reino Unido,100,15307,0.65%,34.77
Estados Unidos,88,54788,0.16%,24.21
Polonia,82,1347,6.09%,15.72
Francia,76,13072,0.58%,40.05
Suiza,46,1848,2.49%,19.96
Suecia,42,1665,2.52%,31.32
Dinamarca,31,1514,2.05%,30.47
Finlandia,30,726,4.13%,12
Eslovaquia,20,240,8.33%,11.61
Canadá,19,2335,0.81%,27.58
Marruecos,19,1192,1.59%,15.87
Hungría,16,360,4.44%,14.68
Noruega,14,848,1.65%,24.32
Austria,14,641,2.18%,29.6
Pakistán,14,587,2.39%,33.16
Irlanda,13,1293,1.01%,22.08
Filipinas,12,1083,1.11%,32.09
Venezuela,12,401,2.99%,29.99
Chequia,11,449,2.45%,18.99
Lituania,11,405,2.72%,25.92
Argentina,10,1668,0.6%,29.54
Estonia,9,129,6.98%,12.47
Portugal,8,499,1.6%,14.57
México,7,1838,0.38%,25.44
Rumanía,7,509,1.38%,16.59
Gibraltar,5,408,1.23%,40.91
Colombia,4,933,0.43%,25.15
Emiratos Árabes Unidos,4,496,0.81%,21.27
Grecia,4,335,1.19%,28.92
Singapur,4,301,1.33%,21.19
Luxemburgo,4,186,2.15%,10.83
Vietnam,3,2021,0.15%,35.67
Ecuador,3,527,0.57%,32.13
Hong Kong,3,139,2.16%,17.99
Moldavia,3,99,3.03%,30.42
La India,2,3572,0.06%,37.47
Rusia,2,3274,0.06%,39.53
Corea del Sur,2,2043,0.1%,37.27
Turquía,2,1003,0.2%,30.64
Japón,2,399,0.5%,27.68
Tailandia,2,330,0.61%,29.3
República Dominicana,2,298,0.67%,26.08
Uruguay,2,210,0.95%,27.69
Serbia,2,192,1.04%,22.72
Jordania,2,186,1.08%,31.2
Puerto Rico,2,113,1.77%,13.51
Andorra,2,80,2.5%,14.12
Madagascar,2,25,8%,13.72
Brasil,1,9290,0.01%,41.45
Indonesia,1,1050,0.1%,32.22
Ucrania,1,768,0.13%,32.95
Bangladés,1,678,0.15%,35.73
Malasia,1,599,0.17%,35.26
Sudáfrica,1,598,0.17%,37.41
Chile,1,461,0.22%,25.4
Taiwán,1,424,0.24%,37.63
Argelia,1,369,0.27%,26.67
