old_url,clicks,impressions,ctr,position,redirect_target,redirect_status,migration_priority,notes
https://www.blancareal.com/es/propiedad/pisos-obra-nueva-fuengirola/,1158,32079,3.61%,11.12,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/,890,9329,9.54%,23.43,https://blancareal.com/en/,exact_or_strong_match,critical,Found in Paginas.csv. Current redirect plan points to a direct or strong equivalent.
https://www.blancareal.com/es/propiedad/almitak-pisos-y-aticos-de-obra-nueva-mijas-costa/,451,17562,2.57%,12.49,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/es/propiedad/pisos-en-venta-obra-nueva-fuengirola/,360,14328,2.51%,11.94,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/es/propiedad/apartamentos-obra-nueva-benalmadena/,202,7382,2.74%,10.39,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/who-pays-real-estate-commission-fees-in-spain/,196,48472,0.4%,8.3,https://blancareal.com/en/posts/,section_fallback,critical,Found in Paginas.csv. Current redirect plan points to a broader section fallback.
https://www.blancareal.com/es/propiedad/casas-venta-fuengirola-blanca-hills/,186,13279,1.4%,22.38,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/nl/propiedad/appartementen-te-koop-en-uitzicht-op-zee-costa-del-sol/,132,18655,0.71%,18.24,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/es/nuestras-promociones/,115,3102,3.71%,4.06,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/es/quien-paga-las-comisiones-de-una-agencia-inmobiliaria/,113,29434,0.38%,16.49,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/es/quienes-somos/,100,2603,3.84%,4.43,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/it/proprieta/case-di-nuova-costruzione-costa-del-sol-spagna/,97,3812,2.54%,17.11,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/es/propiedad/local-100m2-la-cala-de-mijas-centro/,96,1882,5.1%,16.57,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://condesahills.blancareal.com/,96,1152,8.33%,14.17,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/es/propiedad/apartamentos-de-nueva-construccion-en-el-higueron-fuengirola/,95,4583,2.07%,13.71,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/es/propiedad/pisos-en-venta-123-habitaciones-vistas-al-mar-mijas/,93,6905,1.35%,16.75,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/es/obra-nueva/,92,3075,2.99%,7.71,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/it/tasse-comprare-casa-in-spagna/,73,6609,1.1%,15.51,https://blancareal.com/it/post/tasse-pagare-proprieta-costa-del-sol/,exact_or_strong_match,critical,Found in Paginas.csv. Current redirect plan points to a direct or strong equivalent.
https://www.blancareal.com/nl/,71,418,16.99%,22.9,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/property/almitak-offplan-appartements-and-penthouses-mijas-costa/,70,2188,3.2%,10.19,https://blancareal.com/en/projects/,section_fallback,critical,Found in Paginas.csv. Current redirect plan points to a broader section fallback.
https://www.blancareal.com/es/propiedad/nueva-casas-en-venta-en-fuengirola/,57,1782,3.2%,13.94,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
https://www.blancareal.com/es/propiedad/pisos-de-obra-nueva-en-cancelada-estepona/,55,1277,4.31%,15.71,,missing_redirect,critical,Found in Paginas.csv. No redirect is planned yet for this URL.
